level_reached,total_sequences,correct_sequences,wrong_attempts,avg_reaction_time,max_streak,session_duration,memory_score
21,21,14,1,486,21,197,100.0
4,4,3,7,1084,3,226,30.0
3,3,3,6,640,3,130,30.0
17,17,9,0,524,12,151,73.28
23,23,20,6,685,11,83,68.76
6,6,6,2,709,4,99,37.24
3,3,1,7,660,3,101,30.0
17,17,12,5,1019,14,81,55.47
11,11,6,9,900,3,71,30.0
10,10,5,9,500,10,285,30.0
4,4,2,2,935,3,214,30.0
4,4,4,8,377,3,88,30.0
22,22,17,7,921,15,160,70.99
20,20,17,1,427,13,209,96.67
6,6,4,3,739,2,155,30.0
3,3,1,3,447,3,97,30.0
6,6,3,7,1054,5,203,30.0
19,19,15,6,857,16,103,65.49
14,14,8,4,408,12,175,57.82
10,10,7,0,544,4,76,42.36
10,10,9,3,590,6,260,46.09
8,8,4,5,1136,5,278,30.0
22,22,22,6,907,12,226,76.8
17,17,13,7,353,11,75,53.13
17,17,8,0,1005,14,143,66.97
8,8,8,2,972,4,247,35.64
14,14,10,3,372,8,63,51.43
21,21,15,2,401,14,230,84.68
23,23,23,5,342,20,259,100.0
22,22,18,9,1157,17,174,71.63
11,11,8,7,510,8,238,30.0
14,14,13,6,1078,11,101,55.29
16,16,11,5,668,11,279,51.54
3,3,3,7,627,2,111,30.0
13,13,12,3,965,7,169,55.53
14,14,9,2,928,6,105,44.04
15,15,15,5,865,10,175,58.58
24,24,15,0,306,15,181,100.0
15,15,13,1,839,12,170,71.54
24,24,24,2,1164,5,73,83.01
19,19,11,3,392,14,138,66.26
16,16,15,8,657,11,106,47.81
8,8,4,9,818,7,140,30.0
20,20,10,8,629,11,244,44.67
8,8,6,3,972,2,295,30.0
23,23,22,1,815,18,191,100.0
11,11,9,2,819,9,270,56.57
6,6,4,3,934,4,86,30.0
18,18,11,3,720,18,98,74.04
18,18,18,6,788,5,89,54.01
14,14,10,3,829,11,240,49.26
9,9,8,0,682,3,149,48.54
7,7,3,9,332,3,288,30.0
14,14,12,6,545,6,135,40.15
23,23,12,3,786,22,231,86.5
24,24,13,2,434,12,269,69.86
3,3,3,9,822,3,182,30.0
20,20,13,0,397,3,231,66.77
23,23,17,6,711,20,178,86.45
19,19,17,9,728,6,274,39.0
12,12,8,6,1189,8,216,30.0
17,17,10,2,1077,13,88,53.77
17,17,13,2,366,9,67,71.0
22,22,14,2,896,4,104,59.36
5,5,5,8,1127,3,136,30.0
23,23,19,6,314,8,161,59.47
12,12,8,7,668,10,109,39.4
14,14,7,0,999,11,297,44.83
13,13,11,4,726,10,77,53.08
15,15,8,8,391,4,115,30.0
10,10,8,0,367,10,285,53.64
18,18,11,9,817,17,83,40.04
15,15,11,8,447,7,141,30.0
17,17,9,1,1112,3,234,32.27
13,13,8,2,608,11,297,49.28
16,16,13,7,532,2,110,37.74
24,24,14,1,375,24,279,100.0
3,3,3,3,552,3,236,30.0
8,8,8,6,609,7,75,42.21
18,18,11,7,535,9,144,49.14
13,13,8,6,651,12,205,35.14
17,17,8,4,612,8,210,36.44
21,21,17,2,981,8,109,65.81
18,18,12,5,646,10,168,46.58
10,10,9,0,642,5,160,52.29
24,24,16,0,327,10,253,82.26
8,8,8,1,467,4,176,48.5
5,5,2,7,830,3,251,30.0
15,15,9,0,452,14,236,81.93
13,13,7,8,1037,4,210,30.0
21,21,18,0,341,20,284,100.0
4,4,4,1,845,2,184,33.11
8,8,4,6,586,3,69,30.0
22,22,12,7,1055,10,282,42.24
6,6,3,2,1188,5,128,30.0
7,7,6,1,922,3,152,30.0
10,10,7,8,416,4,288,30.0
12,12,10,3,675,6,133,56.56
9,9,8,6,968,7,277,30.0
21,21,14,6,1034,19,79,60.39
4,4,2,9,1170,3,178,30.0
8,8,6,9,398,3,134,30.0
21,21,15,2,1193,16,121,78.96
18,18,16,8,623,16,276,71.13
16,16,8,2,1169,5,66,30.0
21,21,10,8,443,16,291,49.34
19,19,15,9,845,5,212,44.62
8,8,5,6,433,6,185,30.0
13,13,7,2,1193,3,87,30.0
5,5,4,5,488,3,238,30.0
9,9,9,7,478,5,171,31.14
24,24,22,6,920,2,216,61.83
6,6,5,2,1057,6,163,33.62
9,9,6,0,1030,9,289,48.1
3,3,2,3,464,2,246,30.0
19,19,11,4,859,4,175,37.07
16,16,8,7,927,8,141,30.0
20,20,15,1,634,16,129,94.87
10,10,7,8,1165,9,291,30.0
22,22,11,0,845,16,295,71.67
20,20,15,6,776,7,73,50.02
10,10,7,5,685,2,160,30.0
22,22,15,4,321,4,288,69.1
18,18,10,9,427,18,230,43.18
4,4,2,6,781,3,193,30.0
19,19,15,8,624,6,207,38.54
12,12,6,1,564,12,159,69.96
24,24,17,5,973,24,216,91.15
3,3,1,7,431,3,184,30.0
20,20,20,0,583,11,164,100.0
18,18,10,6,1181,11,275,35.22
19,19,16,1,993,14,172,91.66
12,12,6,1,481,4,89,39.35
4,4,3,3,1134,4,205,30.0
16,16,8,3,1181,12,88,34.25
23,23,20,8,1062,16,135,62.06
24,24,20,6,1127,4,121,52.26
24,24,22,3,425,20,228,100.0
18,18,10,6,421,18,97,64.25
16,16,14,8,506,15,243,61.46
21,21,18,1,1102,19,184,91.53
3,3,1,5,620,2,188,30.0
14,14,9,5,979,11,139,37.36
3,3,2,0,1188,2,82,30.0
14,14,13,1,1113,14,255,71.95
16,16,14,2,301,11,237,80.15
8,8,4,3,428,7,298,30.0
23,23,20,5,510,19,193,95.28
15,15,13,9,396,5,168,34.61
7,7,7,1,866,3,156,47.58
18,18,18,2,378,4,146,77.25
4,4,2,8,980,4,130,30.0
20,20,20,6,916,2,120,55.99
16,16,11,5,402,11,130,59.65
23,23,22,0,396,11,174,100.0
17,17,17,2,1015,9,267,65.77
19,19,19,1,741,3,186,81.2
6,6,4,6,312,2,274,30.0
3,3,3,9,836,2,235,30.0
13,13,10,5,340,9,227,52.27
7,7,3,1,651,2,121,30.0
11,11,8,0,572,6,109,56.16
12,12,10,0,573,11,299,78.81
22,22,15,1,828,10,73,70.74
20,20,20,3,675,16,166,100.0
14,14,7,4,546,4,149,31.36
16,16,8,1,779,6,190,50.36
4,4,2,9,1086,2,295,30.0
5,5,4,0,866,3,158,33.59
10,10,8,3,1184,7,66,35.12
24,24,12,0,836,11,177,61.18
18,18,18,7,456,8,151,60.94
9,9,4,9,389,7,258,30.0
3,3,2,8,600,3,122,30.0
13,13,7,0,439,11,103,59.38
3,3,1,7,1193,3,295,30.0
6,6,6,1,1045,2,146,30.0
17,17,14,0,553,17,183,98.19
16,16,10,6,567,9,125,44.83
6,6,4,2,973,5,297,30.0
24,24,16,2,370,17,78,92.74
8,8,7,4,918,6,107,35.51
17,17,10,9,880,8,240,30.0
7,7,3,2,392,7,76,45.5
13,13,11,7,917,9,184,35.27
5,5,4,6,313,3,199,30.0
19,19,9,2,1034,2,71,32.98
9,9,7,9,696,3,165,30.0
20,20,14,2,941,13,140,72.69
12,12,7,5,691,4,70,31.99
11,11,6,7,1061,6,287,30.0
12,12,10,3,411,9,95,57.15
16,16,13,1,1153,6,295,49.81
20,20,16,3,515,8,196,77.62
24,24,24,5,855,11,178,82.61
8,8,4,2,541,7,211,43.09
23,23,18,5,1152,8,275,50.96
3,3,3,1,1031,2,155,30.0
12,12,7,9,324,12,82,30.0
4,4,2,3,531,3,146,30.0
20,20,10,4,525,4,238,40.44
20,20,15,1,921,9,184,69.14
22,22,11,1,485,5,220,61.36
17,17,15,8,1135,11,206,36.59
24,24,12,7,845,22,195,70.14
20,20,18,4,709,14,142,86.48
14,14,8,1,888,6,273,42.16
14,14,8,4,581,11,147,47.01
11,11,11,4,696,6,262,44.63
12,12,9,8,992,3,202,30.0
17,17,11,4,1009,2,191,36.46
13,13,9,9,720,8,280,30.0
19,19,19,6,760,17,281,80.17
6,6,6,4,1173,2,103,30.0
18,18,9,8,823,6,241,30.0
22,22,16,7,398,6,285,54.88
16,16,13,3,480,2,130,53.49
11,11,9,2,885,10,202,50.64
21,21,15,2,821,13,63,76.94
20,20,17,3,580,13,157,81.93
23,23,12,2,809,3,164,54.6
16,16,11,8,554,14,237,43.72
14,14,10,4,1165,11,60,46.45
9,9,5,0,667,4,150,40.78
24,24,18,9,860,7,210,50.08
24,24,15,0,358,10,127,86.62
10,10,10,7,859,4,102,30.0
4,4,4,7,988,3,139,30.0
6,6,6,3,1006,2,145,30.0
20,20,18,1,802,18,135,88.97
14,14,13,9,1154,7,240,30.52
22,22,17,4,444,19,96,91.96
20,20,13,3,767,20,168,85.63
14,14,13,8,727,6,127,40.17
12,12,7,8,530,6,181,30.0
12,12,7,5,743,4,208,30.0
9,9,9,4,329,6,108,43.87
