reaction_time_avg,reaction_time_variance,correct_hits,wrong_hits,missed_targets,accuracy,session_duration,cognitive_score
389,121,34,9,14,80,74,58.5
300,96,60,5,8,79,72,57.29
704,223,54,19,20,45,70,30.0
496,249,50,10,14,66,123,43.37
392,187,58,9,14,83,95,66.21
586,142,45,16,23,61,87,30.0
272,139,58,2,7,93,110,76.21
471,91,65,14,16,64,86,33.57
428,229,54,4,14,81,113,63.37
405,107,47,9,11,65,61,47.04
428,52,75,6,13,79,114,59.88
573,65,46,12,18,49,113,30.0
592,117,72,14,12,74,128,44.99
537,152,70,6,11,70,109,39.43
206,150,77,1,0,85,61,83.56
331,213,61,1,4,88,87,61.0
835,107,48,13,30,61,124,30.0
571,165,66,20,27,63,112,30.0
577,71,31,13,11,75,80,43.42
443,139,50,11,15,66,76,44.99
348,225,75,4,8,79,73,69.23
298,228,49,1,6,94,61,78.88
343,184,43,3,4,88,71,70.83
480,118,74,14,10,69,68,42.31
261,163,43,4,4,93,84,89.72
519,234,78,8,11,69,103,50.44
661,245,43,18,20,64,111,30.0
243,167,34,3,4,86,90,73.81
366,234,59,4,7,88,68,67.8
461,228,42,8,18,62,103,47.86
395,107,71,7,9,76,103,62.33
355,211,66,9,13,85,89,59.67
540,175,53,14,18,62,112,30.35
587,243,40,14,10,76,77,39.18
423,160,38,4,13,88,79,58.9
318,204,69,5,12,79,85,67.99
716,146,76,10,33,48,75,30.0
325,166,34,7,14,86,108,55.73
306,67,79,0,2,91,89,76.3
238,242,78,1,7,85,97,79.23
305,218,37,1,2,92,76,76.85
556,55,55,10,15,65,98,39.61
303,187,38,0,4,86,111,78.35
412,83,64,7,19,61,62,37.43
366,165,41,9,13,76,64,60.39
320,178,56,3,4,98,122,74.12
436,199,65,12,12,72,70,47.64
328,92,45,8,14,77,108,57.69
465,75,58,7,17,65,126,45.37
324,139,47,7,7,75,68,57.39
832,93,65,20,20,49,87,30.0
326,180,41,1,3,95,125,81.53
336,148,56,2,4,89,125,71.12
560,237,60,9,12,66,70,45.11
320,222,50,7,8,84,79,66.86
437,179,61,6,18,79,85,46.71
350,189,77,7,7,79,84,62.65
840,71,68,23,19,51,116,30.0
268,227,49,0,7,92,75,80.88
754,138,75,19,21,52,106,30.0
727,64,65,21,32,52,122,30.0
568,98,47,12,11,69,66,38.36
428,202,50,5,10,73,76,55.11
585,230,68,8,12,73,115,38.97
317,66,48,3,10,83,129,51.67
400,245,39,6,13,76,70,51.58
526,65,69,11,12,76,71,44.2
420,81,70,8,10,77,65,63.81
491,247,68,7,13,65,114,43.96
344,170,43,9,14,76,113,58.39
458,213,77,5,17,69,83,45.64
290,165,47,2,7,93,77,76.33
471,135,48,10,19,79,89,51.87
784,149,59,24,31,50,78,30.0
428,133,44,14,11,77,63,46.91
322,124,57,4,7,85,125,66.59
517,188,73,7,18,69,126,45.35
627,88,54,21,25,63,80,30.0
249,53,57,4,4,91,68,88.35
562,195,62,9,19,64,102,30.0
380,209,75,8,5,81,129,66.83
405,169,53,12,14,77,93,46.67
275,173,36,2,3,93,82,81.4
338,165,58,1,2,90,101,72.09
423,102,37,14,15,67,63,37.45
404,79,37,5,11,60,122,44.56
426,239,68,6,11,82,112,57.03
681,161,54,11,26,49,66,30.0
510,132,77,14,13,69,70,41.39
406,196,38,6,19,66,107,41.12
830,74,48,23,26,59,98,30.0
576,196,57,19,18,47,92,30.0
500,103,35,6,11,68,99,53.33
322,160,31,1,0,98,114,85.09
305,196,61,9,12,86,86,70.76
838,175,37,14,31,47,116,30.0
353,116,75,4,13,78,83,58.12
421,212,78,12,16,70,105,40.91
439,224,75,5,10,61,111,38.62
308,198,50,6,5,75,128,65.32
464,59,38,13,17,79,126,45.32
437,60,65,3,5,83,98,60.26
605,84,42,13,26,61,111,30.0
386,71,58,6,11,78,115,66.89
556,111,77,16,24,62,114,31.27
488,190,60,5,11,71,87,53.61
432,72,37,14,14,79,73,55.63
476,156,34,9,19,72,72,42.15
470,86,79,7,16,65,67,44.65
490,161,75,5,19,60,86,37.28
312,69,45,4,1,95,76,68.97
419,230,58,8,10,82,90,63.15
472,152,47,14,18,66,65,36.85
315,231,34,1,5,87,75,70.19
385,233,41,5,14,89,129,67.8
432,236,58,3,14,81,113,63.18
303,221,63,2,5,85,121,84.57
455,238,32,10,18,66,97,45.97
298,157,56,1,4,88,118,77.76
576,60,67,11,19,63,129,33.76
753,116,47,17,33,60,112,30.0
382,195,77,8,12,89,102,70.97
437,178,78,8,11,81,95,53.5
515,142,59,14,10,66,83,44.39
222,216,53,1,4,87,71,82.63
708,152,44,24,16,52,116,30.0
593,130,50,11,14,75,103,38.96
401,243,70,7,9,82,129,64.64
302,235,35,2,3,86,116,68.82
291,176,30,0,0,98,65,83.53
476,101,32,8,10,64,90,40.95
582,203,46,8,14,73,84,51.77
555,167,66,14,27,59,85,30.0
313,198,75,6,5,82,75,71.48
418,173,39,6,15,60,81,44.93
490,126,56,5,14,72,83,54.15
447,226,50,5,17,73,116,58.08
320,156,35,1,1,86,102,72.72
321,249,53,3,14,83,107,65.66
597,109,75,14,10,62,95,33.51
438,80,62,8,13,66,72,46.78
457,59,31,11,18,68,74,42.52
262,141,39,4,3,95,97,87.08
349,131,70,9,6,76,61,58.32
565,83,30,9,10,69,61,36.54
460,131,30,10,13,63,89,48.1
223,73,42,4,7,96,83,73.21
279,124,64,0,0,90,102,95.25
441,187,71,7,13,70,73,58.42
441,178,71,14,12,69,61,50.91
383,173,69,5,8,79,104,60.6
654,155,72,11,26,61,98,30.0
406,164,66,9,10,75,96,54.05
741,238,62,23,22,61,125,30.0
551,126,54,9,13,63,77,46.71
287,77,64,0,1,86,69,70.0
340,200,73,9,12,81,84,56.51
711,100,35,21,31,48,96,30.0
213,128,37,3,4,88,85,75.51
484,153,67,10,12,63,101,37.82
420,187,52,8,13,60,93,46.89
332,231,49,9,14,76,124,58.3
427,147,42,5,10,75,73,53.32
847,59,37,22,31,42,80,30.0
569,86,30,18,16,55,63,30.0
521,83,72,13,15,62,81,39.89
655,121,77,21,15,55,109,30.0
602,95,34,17,24,51,78,30.0
825,106,79,14,32,59,85,30.0
509,117,35,14,16,78,127,44.66
702,203,51,20,21,47,78,30.0
322,115,31,7,13,89,75,63.36
430,161,31,12,18,61,113,36.35
404,232,33,3,14,75,69,67.41
428,226,60,8,11,77,117,53.76
735,249,57,23,33,57,67,30.0
777,58,59,23,33,56,80,30.0
688,159,40,12,29,59,111,30.0
346,229,49,6,9,88,127,65.99
524,126,77,8,18,68,85,38.26
418,77,31,5,19,78,69,51.81
357,192,61,3,8,83,92,64.09
446,92,37,6,10,75,62,56.93
483,112,72,9,10,75,108,39.13
214,72,43,3,5,86,104,80.93
314,223,73,4,10,78,88,68.02
356,69,62,4,10,77,84,64.57
397,104,54,9,9,83,67,58.81
304,98,68,2,1,86,124,75.09
832,120,48,10,19,50,116,30.0
418,214,32,8,8,86,100,55.9
529,113,46,13,12,75,97,40.4
340,220,73,4,6,92,127,78.09
563,149,49,13,19,78,71,43.35
525,165,61,13,12,77,108,38.21
324,154,64,7,9,85,78,56.8
838,50,55,23,28,41,117,30.0
489,192,48,12,16,74,93,45.26
471,142,30,9,19,63,127,39.82
412,241,61,3,11,84,72,73.64
637,59,70,20,29,50,86,30.0
601,187,66,10,26,40,106,30.0
602,103,49,21,24,53,90,30.0
504,205,59,14,16,69,96,39.06
650,186,68,21,18,63,82,30.0
260,201,55,3,5,92,92,77.06
506,139,37,11,11,77,129,47.27
550,80,36,13,18,69,68,38.86
520,158,50,12,15,62,91,35.25
417,156,44,9,7,76,65,60.45
325,228,38,6,11,76,112,52.24
277,62,72,1,7,96,110,86.14
575,169,47,21,28,52,88,30.0
443,202,60,8,19,72,126,38.2
425,195,30,7,18,67,120,53.22
430,214,44,6,13,81,67,61.52
402,218,48,8,5,84,89,58.77
598,72,77,8,19,78,99,44.06
822,128,75,16,29,59,72,30.0
639,53,78,21,23,61,105,30.0
652,167,43,18,17,49,117,30.0
301,149,79,8,11,82,83,68.03
553,99,75,10,25,64,70,34.34
461,160,55,8,17,76,80,41.03
667,224,56,22,19,45,106,30.0
235,130,59,1,7,86,80,77.41
337,150,70,4,5,83,89,67.18
247,105,30,0,6,92,71,78.13
830,180,78,19,24,40,78,30.0
